Gene.stable.ID	Chromosome.scaffold.name	Karyotype.band	HGNC.symbol	chr.arm
ENSG00000164237	5	p15.2	CMBL	5p
ENSG00000038382	5	p15.2	TRIO	5p
ENSG00000154122	5	p15.2	ANKH	5p
ENSG00000133398	5	p15.31	MED10	5p
ENSG00000037474	5	p15.31	NSUN2	5p
ENSG00000145545	5	p15.31	SRD5A1	5p
ENSG00000145494	5	p15.33	NDUFS6	5p
ENSG00000249915	5	p15.33	PDCD6	5p
ENSG00000171421	5	p15.33	MRPL36	5p
ENSG00000049656	5	p15.33	CLPTM1L	5p
ENSG00000073578	5	p15.33	SDHA	5p
ENSG00000028310	5	p15.33	BRD9	5p
ENSG00000071539	5	p15.33	TRIP13	5p
ENSG00000153395	5	p15.33	LPCAT1	5p
ENSG00000180104	5	p15.33	EXOC3	5p
ENSG00000164366	5	p15.33	CCDC127	5p
ENSG00000186493	5	p15.33	C5orf38	5p
ENSG00000170571	5	q11.1	EMB	5q
ENSG00000164258	5	q11.2	NDUFS4	5q
ENSG00000145632	5	q11.2	PLK2	5q
ENSG00000134363	5	q11.2	FST	5q
ENSG00000067248	5	q11.2	DHX29	5q
ENSG00000062194	5	q11.2	GPBP1	5q
ENSG00000164172	5	q11.2	MOCS2	5q
ENSG00000164171	5	q11.2	ITGA2	5q
ENSG00000134352	5	q11.2	IL6ST	5q
ENSG00000164294	5	q11.2	GPX8	5q
ENSG00000152684	5	q11.2	PELO	5q
ENSG00000155542	5	q11.2	SETD9	5q
ENSG00000164182	5	q12.1	NDUFAF2	5q
ENSG00000068796	5	q12.1	KIF2A	5q
ENSG00000086189	5	q12.1	DIMT1	5q
ENSG00000035499	5	q12.1	DEPDC1B	5q
ENSG00000113448	5	q12.1	PDE4D	5q
ENSG00000123219	5	q12.3	CENPK	5q
ENSG00000153006	5	q12.3	SREK1IP1	5q
ENSG00000153914	5	q12.3	SREK1	5q
ENSG00000153015	5	q12.3	CWC27	5q
ENSG00000123213	5	q12.3	NLN	5q
ENSG00000049192	5	q12.3	ADAMTS6	5q
ENSG00000069020	5	q12.3	MAST4	5q
ENSG00000145740	5	q13.1	SLC30A5	5q
ENSG00000145675	5	q13.1	PIK3R1	5q
ENSG00000145741	5	q13.2	BTF3	5q
ENSG00000273841	5	q13.2	TAF9	5q
ENSG00000131711	5	q13.2	MAP1B	5q
ENSG00000134056	5	q13.2	MRPS36	5q
ENSG00000134057	5	q13.2	CCNB1	5q
ENSG00000145734	5	q13.2	BDP1	5q
ENSG00000083312	5	q13.2	TNPO1	5q
ENSG00000153044	5	q13.2	CENPH	5q
ENSG00000131844	5	q13.2	MCCC2	5q
ENSG00000113048	5	q13.2	MRPS27	5q
ENSG00000145736	5	q13.2	GTF2H2	5q
ENSG00000152942	5	q13.2	RAD17	5q
ENSG00000134058	5	q13.2	CDK7	5q
ENSG00000251493	5	q13.2	FOXD1	5q
ENSG00000164346	5	q13.3	NSA2	5q
ENSG00000049860	5	q13.3	HEXB	5q
ENSG00000164252	5	q13.3	AGGF1	5q
ENSG00000171617	5	q13.3	ENC1	5q
ENSG00000113163	5	q13.3	COL4A3BP	5q
ENSG00000122008	5	q13.3	POLK	5q
ENSG00000164251	5	q13.3	F2RL1	5q
ENSG00000181104	5	q13.3	F2R	5q
ENSG00000132846	5	q13.3	ZBED3	5q
ENSG00000113161	5	q13.3	HMGCR	5q
ENSG00000171530	5	q14.1	TBCA	5q
ENSG00000228716	5	q14.1	DHFR	5q
ENSG00000131732	5	q14.1	ZCCHC9	5q
ENSG00000132842	5	q14.1	AP3B1	5q
ENSG00000039319	5	q14.1	ZFYVE16	5q
ENSG00000152413	5	q14.1	HOMER1	5q
ENSG00000152348	5	q14.1	ATG10	5q
ENSG00000164253	5	q14.1	WDR41	5q
ENSG00000085365	5	q14.1	SCAMP1	5q
ENSG00000113318	5	q14.1	MSH3	5q
ENSG00000186468	5	q14.2	RPS23	5q
ENSG00000174695	5	q14.2	TMEM167A	5q
ENSG00000038427	5	q14.2	VCAN	5q
ENSG00000152422	5	q14.2	XRCC4	5q
ENSG00000127184	5	q14.3	COX7C	5q
ENSG00000134480	5	q14.3	CCNH	5q
ENSG00000113356	5	q14.3	POLR3G	5q
ENSG00000145715	5	q14.3	RASA1	5q
ENSG00000247828	5	q14.3	TMEM161B-AS1	5q
ENSG00000153140	5	q14.3	CETN3	5q
ENSG00000153113	5	q15	CAST	5q
ENSG00000164292	5	q15	RHOBTB3	5q
ENSG00000173221	5	q15	GLRX	5q
ENSG00000118985	5	q15	ELL2	5q
ENSG00000198677	5	q15	TTC37	5q
ENSG00000175745	5	q15	NR2F1	5q
ENSG00000113441	5	q15	LNPEP	5q
ENSG00000113391	5	q15	FAM172A	5q
ENSG00000174136	5	q15	RGMB	5q
ENSG00000164308	5	q15	ERAP2	5q
ENSG00000153922	5	q21.1	CHD1	5q
ENSG00000145730	5	q21.1	PAM	5q
ENSG00000145725	5	q21.1	PPIP5K2	5q
ENSG00000174132	5	q21.1	FAM174A	5q
ENSG00000181751	5	q21.1	C5orf30	5q
ENSG00000198961	5	q21.3	PJA2	5q
ENSG00000112893	5	q21.3	MAN2A1	5q
ENSG00000184349	5	q21.3	EFNA5	5q
ENSG00000224032	5	q22.1	EPB41L4A-AS1	5q
ENSG00000134986	5	q22.1	NREP	5q
ENSG00000164209	5	q22.1	SLC25A46	5q
ENSG00000134987	5	q22.1	WDR36	5q
ENSG00000129625	5	q22.2	REEP5	5q
ENSG00000153037	5	q22.2	SRP19	5q
ENSG00000172795	5	q22.2	DCP2	5q
ENSG00000134982	5	q22.2	APC	5q
ENSG00000047188	5	q22.2	YTHDC2	5q
ENSG00000177879	5	q22.3	AP3S1	5q
ENSG00000145782	5	q22.3	ATG12	5q
ENSG00000164221	5	q22.3	CCDC112	5q
ENSG00000134970	5	q22.3	TMED7	5q
ENSG00000151304	5	q23.1	SRFBP1	5q
ENSG00000145781	5	q23.1	COMMD10	5q
ENSG00000113083	5	q23.1	LOX	5q
ENSG00000145779	5	q23.1	TNFAIP8	5q
ENSG00000168938	5	q23.2	PPIC	5q
ENSG00000164902	5	q23.2	PHAX	5q
ENSG00000151292	5	q23.2	CSNK1G3	5q
ENSG00000064652	5	q23.2	SNX24	5q
ENSG00000205302	5	q23.2	SNX2	5q
ENSG00000113368	5	q23.2	LMNB1	5q
ENSG00000164904	5	q23.2	ALDH7A1	5q
ENSG00000164244	5	q23.2	PRRC1	5q
ENSG00000169567	5	q23.3	HINT1	5q
ENSG00000064651	5	q23.3	SLC12A2	5q
ENSG00000186687	5	q23.3	LYRM7	5q
ENSG00000066583	5	q23.3	ISOC1	5q
ENSG00000164405	5	q31.1	UQCRQ	5q
ENSG00000213585	5	q31.1	VDAC1	5q
ENSG00000113558	5	q31.1	SKP1	5q
ENSG00000145833	5	q31.1	DDX46	5q
ENSG00000113648	5	q31.1	H2AFY	5q
ENSG00000120708	5	q31.1	TGFBI	5q
ENSG00000119048	5	q31.1	UBE2B	5q
ENSG00000069011	5	q31.1	PITX1	5q
ENSG00000113575	5	q31.1	PPP2CA	5q
ENSG00000164615	5	q31.1	CAMLG	5q
ENSG00000113522	5	q31.1	RAD50	5q
ENSG00000170606	5	q31.1	HSPA4	5q
ENSG00000181904	5	q31.1	C5orf24	5q
ENSG00000131435	5	q31.1	PDLIM4	5q
ENSG00000237190	5	q31.1	CDKN2AIPNL	5q
ENSG00000072364	5	q31.1	AFF4	5q
ENSG00000152700	5	q31.1	SAR1B	5q
ENSG00000113658	5	q31.1	SMAD5	5q
ENSG00000158985	5	q31.1	CDC42SE2	5q
ENSG00000125347	5	q31.1	IRF1	5q
ENSG00000155329	5	q31.1	ZCCHC10	5q
ENSG00000132570	5	q31.1	PCBD2	5q
ENSG00000072682	5	q31.1	P4HA2	5q
ENSG00000113583	5	q31.1	C5orf15	5q
ENSG00000145824	5	q31.1	CXCL14	5q
ENSG00000113621	5	q31.1	TXNDC15	5q
ENSG00000131437	5	q31.1	KIF3A	5q
ENSG00000164402	5	q31.1	SEPT8	5q
ENSG00000081059	5	q31.1	TCF7	5q
ENSG00000217128	5	q31.1	FNIP1	5q
ENSG00000131508	5	q31.2	UBE2D2	5q
ENSG00000177733	5	q31.2	HNRNPA0	5q
ENSG00000113013	5	q31.2	HSPA9	5q
ENSG00000120705	5	q31.2	ETF1	5q
ENSG00000120727	5	q31.2	PAIP2	5q
ENSG00000015479	5	q31.2	MATR3	5q
ENSG00000171604	5	q31.2	CXXC5	5q
ENSG00000044115	5	q31.2	CTNNA1	5q
ENSG00000120738	5	q31.2	EGR1	5q
ENSG00000120725	5	q31.2	SIL1	5q
ENSG00000152377	5	q31.2	SPOCK1	5q
ENSG00000112983	5	q31.2	BRD8	5q
ENSG00000120733	5	q31.2	KDM3B	5q
ENSG00000094880	5	q31.2	CDC23	5q
ENSG00000184584	5	q31.2	TMEM173	5q
ENSG00000120709	5	q31.2	FAM53C	5q
ENSG00000112984	5	q31.2	KIF20A	5q
ENSG00000131495	5	q31.3	NDUFA2	5q
ENSG00000213523	5	q31.3	SRA1	5q
ENSG00000120306	5	q31.3	CYSTM1	5q
ENSG00000178913	5	q31.3	TAF7	5q
ENSG00000113068	5	q31.3	PFDN1	5q
ENSG00000146007	5	q31.3	ZMAT2	5q
ENSG00000131507	5	q31.3	NDFIP1	5q
ENSG00000171720	5	q31.3	HDAC3	5q
ENSG00000113141	5	q31.3	IK	5q
ENSG00000131504	5	q31.3	DIAPH1	5q
ENSG00000185129	5	q31.3	PURA	5q
ENSG00000113580	5	q31.3	NR3C1	5q
ENSG00000113070	5	q31.3	HBEGF	5q
ENSG00000113552	5	q31.3	GNPDA1	5q
ENSG00000176087	5	q31.3	SLC35A4	5q
ENSG00000170445	5	q31.3	HARS	5q
ENSG00000145817	5	q31.3	YIPF5	5q
ENSG00000120314	5	q31.3	WDR55	5q
ENSG00000013561	5	q31.3	RNF14	5q
ENSG00000156453	5	q31.3	PCDH1	5q
ENSG00000113578	5	q31.3	FGF1	5q
ENSG00000113712	5	q32	CSNK1A1	5q
ENSG00000091009	5	q32	RBM27	5q
ENSG00000133706	5	q32	LARS	5q
ENSG00000070814	5	q32	TCOF1	5q
ENSG00000113649	5	q32	TCERG1	5q
ENSG00000155850	5	q32	SLC26A2	5q
ENSG00000113716	5	q32	HMGXB3	5q
ENSG00000164266	5	q32	SPINK1	5q
ENSG00000113657	5	q32	DPYSL3	5q
ENSG00000178172	5	q32	SPINK6	5q
ENSG00000186314	5	q32	PRELID2	5q
ENSG00000164284	5	q32	GRPEL2	5q
ENSG00000164587	5	q33.1	RPS14	5q
ENSG00000177556	5	q33.1	ATOX1	5q
ENSG00000113140	5	q33.1	SPARC	5q
ENSG00000145901	5	q33.1	TNIP1	5q
ENSG00000145907	5	q33.1	G3BP1	5q
ENSG00000019582	5	q33.1	CD74	5q
ENSG00000211445	5	q33.1	GPX3	5q
ENSG00000086589	5	q33.1	RBM22	5q
ENSG00000197043	5	q33.1	ANXA6	5q
ENSG00000070614	5	q33.1	NDST1	5q
ENSG00000132912	5	q33.1	DCTN4	5q
ENSG00000196743	5	q33.1	GM2A	5q
ENSG00000082515	5	q33.2	MRPL22	5q
ENSG00000155506	5	q33.2	LARP1	5q
ENSG00000164576	5	q33.2	SAP30L	5q
ENSG00000164574	5	q33.2	GALNT10	5q
ENSG00000155508	5	q33.2	CNOT8	5q
ENSG00000164611	5	q33.3	PTTG1	5q
ENSG00000145860	5	q33.3	RNF145	5q
ENSG00000113312	5	q33.3	TTC1	5q
ENSG00000113282	5	q33.3	CLINT1	5q
ENSG00000164609	5	q33.3	SLU7	5q
ENSG00000164332	5	q33.3	UBLCP1	5q
ENSG00000113272	5	q33.3	THG1L	5q
ENSG00000170234	5	q33.3	PWWP2A	5q
ENSG00000135074	5	q33.3	ADAM19	5q
ENSG00000155868	5	q33.3	MED7	5q
ENSG00000170584	5	q34	NUDCD2	5q
ENSG00000113643	5	q34	RARS	5q
ENSG00000072571	5	q34	HMMR	5q
ENSG00000113328	5	q34	CCNG1	5q
ENSG00000113645	5	q34	WWC1	5q
ENSG00000120137	5	q34	PANK3	5q
ENSG00000038274	5	q34	MAT2B	5q
ENSG00000181163	5	q35.1	NPM1	5q
ENSG00000113732	5	q35.1	ATP6V0E1	5q
ENSG00000037241	5	q35.1	RPL26L1	5q
ENSG00000113719	5	q35.1	ERGIC1	5q
ENSG00000120129	5	q35.1	DUSP1	5q
ENSG00000072803	5	q35.1	FBXW11	5q
ENSG00000168246	5	q35.1	UBTD2	5q
ENSG00000113734	5	q35.1	BNIP1	5q
ENSG00000175416	5	q35.2	CLTB	5q
ENSG00000146066	5	q35.2	HIGD2A	5q
ENSG00000048162	5	q35.2	NOP16	5q
ENSG00000145919	5	q35.2	BOD1	5q
ENSG00000164466	5	q35.2	SFXN1	5q
ENSG00000048140	5	q35.2	TSPAN17	5q
ENSG00000113739	5	q35.2	STC2	5q
ENSG00000122203	5	q35.2	KIAA1191	5q
ENSG00000113194	5	q35.2	FAF2	5q
ENSG00000051596	5	q35.2	THOC3	5q
ENSG00000087206	5	q35.2	UIMC1	5q
ENSG00000113742	5	q35.2	CPEB4	5q
ENSG00000169230	5	q35.3	PRELID1	5q
ENSG00000145912	5	q35.3	NHP2	5q
ENSG00000197451	5	q35.3	HNRNPAB	5q
ENSG00000161011	5	q35.3	SQSTM1	5q
ENSG00000184840	5	q35.3	TMED9	5q
ENSG00000169223	5	q35.3	LMAN2	5q
ENSG00000127022	5	q35.3	CANX	5q
ENSG00000196923	5	q35.3	PDLIM7	5q
ENSG00000169045	5	q35.3	HNRNPH1	5q
ENSG00000198055	5	q35.3	GRK6	5q
ENSG00000161013	5	q35.3	MGAT4B	5q
ENSG00000131188	5	q35.3	PRR7	5q
ENSG00000131187	5	q35.3	F12	5q
ENSG00000131446	5	q35.3	MGAT1	5q
ENSG00000165671	5	q35.3	NSD1	5q
ENSG00000027847	5	q35.3	B4GALT7	5q
ENSG00000113758	5	q35.3	DBN1	5q
ENSG00000113269	5	q35.3	RNF130	5q
ENSG00000050748	5	q35.3	MAPK9	5q
ENSG00000145916	5	q35.3	RMND5B	5q
ENSG00000183258	5	q35.3	DDX41	5q
ENSG00000197226	5	q35.3	TBC1D9B	5q
ENSG00000146054	5	q35.3	TRIM7	5q
ENSG00000113300	5	q35.3	CNOT6	5q
ENSG00000213347	5	q35.3	MXD3	5q
ENSG00000176783	5	q35.3	RUFY1	5q
ENSG00000169220	5	q35.3	RGS14	5q
ENSG00000169131	5	q35.3	ZNF354A	5q
ENSG00000146063	5	q35.3	TRIM41	5q
ENSG00000161021	5	q35.3	MAML1	5q
ENSG00000196670	5	q35.3	ZFP62	5q
ENSG00000146143	6	p11.2	PRIM2	6p
ENSG00000151914	6	p12.1	DST	6p
ENSG00000112146	6	p12.1	FBXO9	6p
ENSG00000112208	6	p12.1	BAG2	6p
ENSG00000012660	6	p12.1	ELOVL5	6p
ENSG00000112200	6	p12.1	ZNF451	6p
ENSG00000001084	6	p12.1	GCLC	6p
ENSG00000112144	6	p12.1	ICK	6p
ENSG00000096092	6	p12.2	TMEM14A	6p
ENSG00000112118	6	p12.2	MCM3	6p
ENSG00000065308	6	p12.2	TRAM2	6p
ENSG00000096093	6	p12.2	EFHC1	6p
ENSG00000198087	6	p12.3	CD2AP	6p
ENSG00000146072	6	p12.3	TNFRSF21	6p
ENSG00000197261	6	p12.3	C6orf141	6p
ENSG00000096384	6	p21.1	HSP90AB1	6p
ENSG00000180992	6	p21.1	MRPL14	6p
ENSG00000124733	6	p21.1	MEA1	6p
ENSG00000146223	6	p21.1	RPL7L1	6p
ENSG00000048544	6	p21.1	MRPS10	6p
ENSG00000112576	6	p21.1	CCND3	6p
ENSG00000124541	6	p21.1	RRP36	6p
ENSG00000124702	6	p21.1	KLHDC3	6p
ENSG00000157593	6	p21.1	SLC35B2	6p
ENSG00000137207	6	p21.1	YIPF3	6p
ENSG00000137161	6	p21.1	CNPY3	6p
ENSG00000096080	6	p21.1	MRPS18A	6p
ENSG00000112651	6	p21.1	MRPL2	6p
ENSG00000096401	6	p21.1	CDC5L	6p
ENSG00000112578	6	p21.1	BYSL	6p
ENSG00000188112	6	p21.1	C6orf132	6p
ENSG00000112559	6	p21.1	MDFI	6p
ENSG00000112759	6	p21.1	SLC29A1	6p
ENSG00000112715	6	p21.1	VEGFA	6p
ENSG00000137166	6	p21.1	FOXP4	6p
ENSG00000124659	6	p21.1	TBCC	6p
ENSG00000124571	6	p21.1	XPO5	6p
ENSG00000112640	6	p21.1	PPP2R5D	6p
ENSG00000137413	6	p21.1	TAF8	6p
ENSG00000171453	6	p21.1	POLR1C	6p
ENSG00000112658	6	p21.1	SRF	6p
ENSG00000112655	6	p21.1	PTK7	6p
ENSG00000146232	6	p21.1	NFKBIE	6p
ENSG00000124641	6	p21.1	MED20	6p
ENSG00000124688	6	p21.1	MAD2L1BP	6p
ENSG00000221821	6	p21.1	C6orf226	6p
ENSG00000137216	6	p21.1	TMEM63B	6p
ENSG00000024048	6	p21.1	UBR2	6p
ENSG00000137409	6	p21.2	MTCH1	6p
ENSG00000124767	6	p21.2	GLO1	6p
ENSG00000198937	6	p21.2	CCDC167	6p
ENSG00000124762	6	p21.2	CDKN1A	6p
ENSG00000112130	6	p21.2	RNF8	6p
ENSG00000156639	6	p21.2	ZFAND3	6p
ENSG00000198663	6	p21.2	C6orf89	6p
ENSG00000137168	6	p21.2	PPIL1	6p
ENSG00000137193	6	p21.2	PIM1	6p
ENSG00000112167	6	p21.2	SAYSD1	6p
ENSG00000198755	6	p21.31	RPL10A	6p
ENSG00000137309	6	p21.31	HMGA1	6p
ENSG00000124614	6	p21.31	RPS10	6p
ENSG00000112081	6	p21.31	SRSF3	6p
ENSG00000124562	6	p21.31	SNRPC	6p
ENSG00000272325	6	p21.31	NUDT3	6p
ENSG00000096063	6	p21.31	SRPK1	6p
ENSG00000064995	6	p21.31	TAF11	6p
ENSG00000156711	6	p21.31	MAPK13	6p
ENSG00000112078	6	p21.31	KCTD20	6p
ENSG00000030110	6	p21.31	BAK1	6p
ENSG00000196821	6	p21.31	C6orf106	6p
ENSG00000112062	6	p21.31	MAPK14	6p
ENSG00000161904	6	p21.31	LEMD2	6p
ENSG00000096433	6	p21.31	ITPR3	6p
ENSG00000112079	6	p21.31	STK38	6p
ENSG00000096060	6	p21.31	FKBP5	6p
ENSG00000124664	6	p21.31	SPDEF	6p
ENSG00000064999	6	p21.31	ANKS1A	6p
ENSG00000231500	6	p21.32	RPS18	6p
ENSG00000112514	6	p21.32	CUTA	6p
ENSG00000204256	6	p21.32	BRD2	6p
ENSG00000204220	6	p21.32	PFDN6	6p
ENSG00000231925	6	p21.32	TAPBP	6p
ENSG00000240065	6	p21.32	PSMB9	6p
ENSG00000204264	6	p21.32	PSMB8	6p
ENSG00000204308	6	p21.32	RNF5	6p
ENSG00000112473	6	p21.32	SLC39A7	6p
ENSG00000204209	6	p21.32	DAXX	6p
ENSG00000204310	6	p21.32	AGPAT1	6p
ENSG00000227057	6	p21.32	WDR46	6p
ENSG00000168394	6	p21.32	TAP1	6p
ENSG00000213676	6	p21.32	ATF6B	6p
ENSG00000204227	6	p21.32	RING1	6p
ENSG00000237649	6	p21.32	KIFC1	6p
ENSG00000237441	6	p21.32	RGL2	6p
ENSG00000204304	6	p21.32	PBX2	6p
ENSG00000112511	6	p21.32	PHF1	6p
ENSG00000213654	6	p21.32	GPSM3	6p
ENSG00000223501	6	p21.32	VPS52	6p
ENSG00000204231	6	p21.32	RXRB	6p
ENSG00000196230	6	p21.33	TUBB	6p
ENSG00000213719	6	p21.33	CLIC1	6p
ENSG00000137331	6	p21.33	IER3	6p
ENSG00000204387	6	p21.33	C6orf48	6p
ENSG00000204392	6	p21.33	LSM2	6p
ENSG00000234745	6	p21.33	HLA-B	6p
ENSG00000204435	6	p21.33	CSNK2B	6p
ENSG00000204525	6	p21.33	HLA-C	6p
ENSG00000137312	6	p21.33	FLOT1	6p
ENSG00000204574	6	p21.33	ABCF1	6p
ENSG00000204568	6	p21.33	MRPS18B	6p
ENSG00000213722	6	p21.33	DDAH2	6p
ENSG00000204469	6	p21.33	PRRC2A	6p
ENSG00000204590	6	p21.33	GNL1	6p
ENSG00000146112	6	p21.33	PPP1R18	6p
ENSG00000204438	6	p21.33	GPANK1	6p
ENSG00000204463	6	p21.33	BAG6	6p
ENSG00000204394	6	p21.33	VARS	6p
ENSG00000204498	6	p21.33	NFKBIL1	6p
ENSG00000204569	6	p21.33	PPP1R10	6p
ENSG00000137310	6	p21.33	TCF19	6p
ENSG00000204560	6	p21.33	DHX16	6p
ENSG00000204386	6	p21.33	NEU1	6p
ENSG00000204520	6	p21.33	MICA	6p
ENSG00000204439	6	p21.33	C6orf47	6p
ENSG00000204580	6	p21.33	DDR1	6p
ENSG00000204389	6	p21.33	HSPA1A	6p
ENSG00000204371	6	p21.33	EHMT2	6p
ENSG00000204564	6	p21.33	C6orf136	6p
ENSG00000137404	6	p21.33	NRM	6p
ENSG00000204536	6	p21.33	CCHCR1	6p
ENSG00000204344	6	p21.33	STK19	6p
ENSG00000196260	6	p21.33	SFTA2	6p
ENSG00000137337	6	p21.33	MDC1	6p
ENSG00000204576	6	p21.33	PRR3	6p
ENSG00000204388	6	p21.33	HSPA1B	6p
ENSG00000198563	6	p21.33	DDX39B	6p
ENSG00000206503	6	p22.1	HLA-A	6p
ENSG00000197903	6	p22.1	HIST1H2BK	6p
ENSG00000204619	6	p22.1	PPP1R11	6p
ENSG00000204592	6	p22.1	HLA-E	6p
ENSG00000066379	6	p22.1	ZNRD1	6p
ENSG00000204713	6	p22.1	TRIM27	6p
ENSG00000184357	6	p22.1	HIST1H1B	6p
ENSG00000231074	6	p22.1	HCG18	6p
ENSG00000234127	6	p22.1	TRIM26	6p
ENSG00000241370	6	p22.1	RPP21	6p
ENSG00000124635	6	p22.1	HIST1H2BJ	6p
ENSG00000197061	6	p22.2	HIST1H4C	6p
ENSG00000187837	6	p22.2	HIST1H1C	6p
ENSG00000168298	6	p22.2	HIST1H1E	6p
ENSG00000146109	6	p22.2	ABT1	6p
ENSG00000124575	6	p22.2	HIST1H1D	6p
ENSG00000181315	6	p22.2	ZNF322	6p
ENSG00000112343	6	p22.2	TRIM38	6p
ENSG00000180573	6	p22.2	HIST1H2AC	6p
ENSG00000158373	6	p22.2	HIST1H2BD	6p
ENSG00000112763	6	p22.2	BTN2A1	6p
ENSG00000124795	6	p22.3	DEK	6p
ENSG00000124766	6	p22.3	SOX4	6p
ENSG00000112312	6	p22.3	GMNN	6p
ENSG00000112304	6	p22.3	ACOT13	6p
ENSG00000112308	6	p22.3	C6orf62	6p
ENSG00000137364	6	p22.3	TPMT	6p
ENSG00000124532	6	p22.3	MRS2	6p
ENSG00000172201	6	p22.3	ID4	6p
ENSG00000047579	6	p22.3	DTNBP1	6p
ENSG00000112242	6	p22.3	E2F3	6p
ENSG00000008083	6	p22.3	JARID2	6p
ENSG00000111802	6	p22.3	TDP2	6p
ENSG00000124789	6	p22.3	NUP153	6p
ENSG00000137177	6	p22.3	KIF13A	6p
ENSG00000112186	6	p22.3	CAP2	6p
ENSG00000007944	6	p22.3	MYLIP	6p
ENSG00000124788	6	p22.3	ATXN1	6p
ENSG00000225921	6	p23	NOL7	6p
ENSG00000010017	6	p23	RANBP9	6p
ENSG00000145990	6	p23	GFOD1	6p
ENSG00000145979	6	p24.1	TBC1D7	6p
ENSG00000078401	6	p24.1	EDN1	6p
ENSG00000112137	6	p24.1	PHACTR1	6p
ENSG00000137210	6	p24.2	TMEM14B	6p
ENSG00000111843	6	p24.2	TMEM14C	6p
ENSG00000111845	6	p24.2	PAK1IP1	6p
ENSG00000111859	6	p24.2	NEDD9	6p
ENSG00000124783	6	p24.3	SSR1	6p
ENSG00000124802	6	p24.3	EEF1E1	6p
ENSG00000096696	6	p24.3	DSP	6p
ENSG00000137203	6	p24.3	TFAP2A	6p
ENSG00000124784	6	p24.3	RIOK1	6p
ENSG00000168566	6	p24.3	SNRNP48	6p
ENSG00000124786	6	p24.3	SLC35B3	6p
ENSG00000124782	6	p24.3	RREB1	6p
ENSG00000214113	6	p25.1	LYRM4	6p
ENSG00000153046	6	p25.1	CDYL	6p
ENSG00000124787	6	p25.1	RPP40	6p
ENSG00000145982	6	p25.1	FARS2	6p
ENSG00000180822	6	p25.2	PSMG4	6p
ENSG00000124588	6	p25.2	NQO2	6p
ENSG00000124570	6	p25.2	SERPINB6	6p
ENSG00000021355	6	p25.2	SERPINB1	6p
ENSG00000198721	6	p25.2	ECI2	6p
ENSG00000112739	6	p25.2	PRPF4B	6p
ENSG00000137267	6	p25.2	TUBB2A	6p
ENSG00000124535	6	p25.2	WRNIP1	6p
ENSG00000168994	6	p25.2	PXDC1	6p
ENSG00000137285	6	p25.2	TUBB2B	6p
ENSG00000112699	6	p25.3	GMDS	6p
ENSG00000054598	6	p25.3	FOXC1	6p
ENSG00000112679	6	p25.3	DUSP22	6p
ENSG00000112245	6	q12	PTP4A1	6q
ENSG00000118482	6	q12	PHF3	6q
ENSG00000156508	6	q13	EEF1A1	6q
ENSG00000112305	6	q13	SMAP1	6q
ENSG00000119900	6	q13	OGFRL1	6q
ENSG00000156535	6	q13	CD109	6q
ENSG00000112695	6	q14.1	COX7A2	6q
ENSG00000118418	6	q14.1	HMGN3	6q
ENSG00000146247	6	q14.1	PHIP	6q
ENSG00000112701	6	q14.1	SENP6	6q
ENSG00000112697	6	q14.1	TMEM30A	6q
ENSG00000005700	6	q14.1	IBTK	6q
ENSG00000196586	6	q14.1	MYO6	6q
ENSG00000146242	6	q14.1	TPBG	6q
ENSG00000013375	6	q14.1	PGM3	6q
ENSG00000065833	6	q14.2	ME1	6q
ENSG00000065615	6	q14.2	CYB5R4	6q
ENSG00000135316	6	q14.3	SYNCRIP	6q
ENSG00000135318	6	q14.3	NT5E	6q
ENSG00000188994	6	q14.3	ZNF292	6q
ENSG00000135317	6	q14.3	SNX14	6q
ENSG00000135346	6	q14.3	CGA	6q
ENSG00000198833	6	q15	UBE2J1	6q
ENSG00000083099	6	q15	LYRM2	6q
ENSG00000146278	6	q15	PNRC1	6q
ENSG00000135334	6	q15	AKIRIN2	6q
ENSG00000146282	6	q15	RARS2	6q
ENSG00000135336	6	q15	ORC3	6q
ENSG00000135341	6	q15	MAP3K7	6q
ENSG00000146281	6	q15	PM20D2	6q
ENSG00000112159	6	q15	MDN1	6q
ENSG00000025039	6	q15	RRAGD	6q
ENSG00000123545	6	q16.1	NDUFAF4	6q
ENSG00000146263	6	q16.1	MMS22L	6q
ENSG00000014123	6	q16.1	UFL1	6q
ENSG00000132424	6	q16.2	PNISR	6q
ENSG00000112237	6	q16.2	CCNC	6q
ENSG00000132423	6	q16.2	COQ3	6q
ENSG00000112249	6	q16.3	ASCC3	6q
ENSG00000112335	6	q21	SNX3	6q
ENSG00000155115	6	q21	GTF3C6	6q
ENSG00000277443	6	q21	MARCKS	6q
ENSG00000196591	6	q21	HDAC2	6q
ENSG00000123505	6	q21	AMD1	6q
ENSG00000135535	6	q21	CD164	6q
ENSG00000025796	6	q21	SEC63	6q
ENSG00000057663	6	q21	ATG5	6q
ENSG00000197498	6	q21	RPF2	6q
ENSG00000168438	6	q21	CDC40	6q
ENSG00000118689	6	q21	FOXO3	6q
ENSG00000132429	6	q21	POPDC3	6q
ENSG00000130348	6	q21	QRSL1	6q
ENSG00000009413	6	q21	REV3L	6q
ENSG00000081087	6	q21	OSTM1	6q
ENSG00000010810	6	q21	FYN	6q
ENSG00000135587	6	q21	SMPD2	6q
ENSG00000112769	6	q21	LAMA4	6q
ENSG00000183137	6	q21	CEP57L1	6q
