"","Gene.stable.ID","Chromosome.scaffold.name","Karyotype.band","HGNC.symbol","chr.arm"
"15696","ENSG00000137101",9,"p13.3","CD72","9p"
"15698","ENSG00000254709",22,"q11.22","IGLL5","22q"
"15701","ENSG00000151835",13,"q12.12","SACS","13q"
"15702","ENSG00000018189",4,"q13.3","RUFY3","4q"
"15707","ENSG00000100299",22,"q13.33","ARSA","22q"
"15708","ENSG00000149292",11,"q23.2","TTC12","11q"
"15709","ENSG00000167769",19,"p13.3","ACER1","19p"
"15710","ENSG00000131831",23,"p22.13","RAI2","23p"
"15715","ENSG00000178252",3,"p21.31","WDR6","3p"
"15720","ENSG00000129128",4,"q34.2","SPCS3","4q"
"15727","ENSG00000109670",4,"q31.3","FBXW7","4q"
"15728","ENSG00000231074",6,"p22.1","HCG18","6p"
"15729","ENSG00000188984",1,"p36.21","AADACL3","1p"
"15736","ENSG00000105355",19,"p13.3","PLIN3","19p"
"15737","ENSG00000176845",17,"q25.3","METRNL","17q"
"15738","ENSG00000241058",10,"p12.31","NSUN6","10p"
"15739","ENSG00000132274",11,"p15.4","TRIM22","11p"
"15740","ENSG00000132153",3,"p21.31","DHX30","3p"
"15742","ENSG00000169679",2,"q13","BUB1","2q"
"15743","ENSG00000235655",2,"q31.1","H3F3AP4","2q"
"15744","ENSG00000138435",2,"q31.1","CHRNA1","2q"
"15745","ENSG00000157330",1,"p36.21","C1orf158","1p"
"15746","ENSG00000215301",23,"p11.4","DDX3X","23p"
"15747","ENSG00000221836",7,"q35","OR2A5","7q"
"15756","ENSG00000221933",7,"q35","OR2A25","7q"
"15759","ENSG00000119523",9,"q22.33","ALG2","9q"
"15760","ENSG00000174669",11,"q13.2","SLC29A2","11q"
"15762","ENSG00000087053",11,"q21","MTMR2","11q"
"15763","ENSG00000106948",9,"q32","AKNA","9q"
"15765","ENSG00000099849",11,"p15.5","RASSF7","11p"
"15766","ENSG00000136810",9,"q31.3","TXN","9q"
"15767","ENSG00000221858",7,"q35","OR2A12","7q"
"15770","ENSG00000206069",22,"q11.23","TMEM211","22q"
"15771","ENSG00000162337",11,"q13.2","LRP5","11q"
"15772","ENSG00000221989",7,"q35","OR2A2","7q"
"15775","ENSG00000106803",9,"q22.33","SEC61B","9q"
"15778","ENSG00000100263",22,"q12.2","RHBDD3","22q"
"15783","ENSG00000188282",2,"q35","RUFY4","2q"
"15785","ENSG00000260903",20,"q11.21","XKR7","20q"
"15786","ENSG00000106236",7,"q22.1","NPTX2","7q"
"15788","ENSG00000248522",8,"q12.1","SBF1P1","8q"
"15794","ENSG00000206579",8,"q12.1","XKR4","8q"
"15801","ENSG00000144285",2,"q24.3","SCN1A","2q"
"15804","ENSG00000205359",5,"q21.1","SLCO6A1","5q"
"15814","ENSG00000074201",11,"q14.1","CLNS1A","11q"
"15815","ENSG00000124164",20,"q13.32","VAPB","20q"
"15817","ENSG00000229754",2,"q35","CXCR2P1","2q"
"15820","ENSG00000221938",7,"q35","OR2A14","7q"
"15822","ENSG00000161328",11,"p15.5","LRRC56","11p"
"15824","ENSG00000066583",5,"q23.3","ISOC1","5q"
"15828","ENSG00000168959",11,"q14.3","GRM5","11q"
"15832","ENSG00000227036",17,"q24.3","LINC00511","17q"
"15836","ENSG00000148702",10,"q25.3","HABP2","10q"
"15837","ENSG00000181616",11,"p15.4","OR52H1","11p"
"15841","ENSG00000205409",11,"p15.4","OR52E6","11p"
"15842","ENSG00000101000",20,"q11.22","PROCR","20q"
"15845","ENSG00000167359",11,"p15.4","OR51I1","11p"
"15848","ENSG00000197077",22,"q11.23","KIAA1671","22q"
"15849","ENSG00000167355",11,"p15.4","OR51B5","11p"
"15852","ENSG00000164123",4,"q32.1","C4orf45","4q"
"15864","ENSG00000242372",20,"q11.22","EIF6","20q"
"15867","ENSG00000052795",4,"q32.1","FNIP2","4q"
"15869","ENSG00000115935",2,"q31.1","WIPF1","2q"
"15875","ENSG00000155959",23,"q28","VBP1","23q"
"15878","ENSG00000181023",11,"p15.4","OR56B1","11p"
"15879","ENSG00000122548",7,"p15.2","KIAA0087","7p"
"15884","ENSG00000283597",15,"q26.3","FAM169B","15q"
"15891","ENSG00000181074",11,"p15.4","OR52N4","11p"
"15901","ENSG00000167360",11,"p15.4","OR51Q1","11p"
"15906","ENSG00000222004",7,"p15.2","C7orf71","7p"
"15908","ENSG00000255082",11,"q14.2","GRM5-AS1","11q"
"15910","ENSG00000187747",11,"p15.4","OR52B6","11p"
"15912","ENSG00000204193",9,"q31.3","TXNDC8","9q"
"15914","ENSG00000196565",11,"p15.4","HBG2","11p"
"15922","ENSG00000176009",11,"p15.4","ASCL3","11p"
"15923","ENSG00000141026",17,"p11.2","MED9","17p"
"15924","ENSG00000102178",23,"q28","UBL4A","23q"
"15925","ENSG00000180988",11,"p15.4","OR52N2","11p"
"15926","ENSG00000071575",2,"p24.3","TRIB2","2p"
"15928","ENSG00000082781",3,"q21.2","ITGB5","3q"
"15931","ENSG00000168610",17,"q21.2","STAT3","17q"
"15933","ENSG00000121236",11,"p15.4","TRIM6","11p"
"15936","ENSG00000033867",3,"p24.1","SLC4A7","3p"
"15937","ENSG00000108551",17,"p11.2","RASD1","17p"
"15938","ENSG00000186907",11,"q12.1","RTN4RL2","11q"
"15940","ENSG00000120500",23,"q13.1","ARR3","23q"
"15942","ENSG00000241469",3,"q13.12","LINC00635","3q"
"15952","ENSG00000138166",10,"q25.2","DUSP5","10q"
"15954","ENSG00000166664",15,"q13.2","CHRFAM7A","15q"
"15957","ENSG00000119541",18,"q21.33","VPS4B","18q"
"15958","ENSG00000243896",7,"q35","OR2A7","7q"
"15959","ENSG00000088386",13,"q32.3","SLC15A1","13q"
"15961","ENSG00000116649",1,"p36.22","SRM","1p"
"15962","ENSG00000178301",11,"q14.1","AQP11","11q"
"15964","ENSG00000213214",7,"q35","ARHGEF35","7q"
"15965","ENSG00000100425",22,"q13.33","BRD1","22q"
"15966","ENSG00000103199",16,"p13.3","ZNF500","16p"
"15967","ENSG00000128789",18,"p11.21","PSMG2","18p"
"15968","ENSG00000050327",7,"q35","ARHGEF5","7q"
"15974","ENSG00000173818",17,"q25.3","ENDOV","17q"
"15975","ENSG00000103226",16,"p13.11","NOMO3","16p"
"15977","ENSG00000134470",10,"p15.1","IL15RA","10p"
"15980","ENSG00000072506",23,"p11.22","HSD17B10","23p"
"15985","ENSG00000240423",3,"q13.12","LINC00636","3q"
"15986","ENSG00000122547",7,"p14.2","EEPD1","7p"
"15990","ENSG00000158470",20,"q13.13","B4GALT5","20q"
"15994","ENSG00000049249",1,"p36.23","TNFRSF9","1p"
"15995","ENSG00000168096",16,"p13.3","ANKS3","16p"
"15997","ENSG00000103257",16,"q24.2","SLC7A5","16q"
"15998","ENSG00000100053",22,"q11.23","CRYBB3","22q"
"16002","ENSG00000243449",4,"p16.3","C4orf48","4p"
"16003","ENSG00000125319",17,"q21.31","C17orf53","17q"
"16007","ENSG00000125966",20,"q11.22","MMP24","20q"
"16020","ENSG00000273841",5,"q13.2","TAF9","5q"
"16026","ENSG00000129003",15,"q22.2","VPS13C","15q"
"16028","ENSG00000184860",16,"q23.3","SDR42E1","16q"
"16029","ENSG00000090266",7,"q34","NDUFB2","7q"
"16030","ENSG00000184388",23,"q13.2","PABPC1L2B","23q"
"16033","ENSG00000100065",22,"q13.1","CARD10","22q"
"16034","ENSG00000198768",20,"q13.32","APCDD1L","20q"
"16037","ENSG00000183034",17,"q25.1","OTOP2","17q"
"16046","ENSG00000139746",13,"q31.1","RBM26","13q"
"16047","ENSG00000119508",9,"q31.1","NR4A3","9q"
"16051","ENSG00000186288",23,"q13.2","PABPC1L2A","23q"
"16052","ENSG00000126903",23,"q28","SLC10A3","23q"
"16056","ENSG00000205784",19,"p13.3","ARRDC5","19p"
"16060","ENSG00000181381",4,"q32.3","DDX60L","4q"
"16061","ENSG00000204118",23,"q13.2","NAP1L6","23q"
"16069","ENSG00000186462",23,"q13.2","NAP1L2","23q"
"16071","ENSG00000065882",4,"p14","TBC1D1","4p"
"16072","ENSG00000185305",5,"q11.2","ARL15","5q"
"16073","ENSG00000258453",14,"q11.2","OR11H2","14q"
"16074","ENSG00000080298",9,"p24.2","RFX3","9p"
"16076","ENSG00000179348",3,"q21.3","GATA2","3q"
"16077","ENSG00000232112",3,"p21.31","TMA7","3p"
"16079","ENSG00000166448",7,"q22.1","TMEM130","7q"
"16080","ENSG00000152642",3,"p22.3","GPD1L","3p"
"16083","ENSG00000150760",10,"q26.2","DOCK1","10q"
"16089","ENSG00000164051",3,"p21.31","CCDC51","3p"
"16090","ENSG00000176299",14,"q11.2","OR4M1","14q"
"16093","ENSG00000182652",14,"q11.2","OR4Q3","14q"
"16094","ENSG00000100266",22,"q13.2","PACSIN2","22q"
"16095","ENSG00000104299",8,"p21.1","INTS9","8p"
"16097","ENSG00000176294",14,"q11.2","OR4N2","14q"
"16098","ENSG00000157766",15,"q26.1","ACAN","15q"
"16099","ENSG00000180974",11,"p15.4","OR52E4","11p"
"16108","ENSG00000166589",16,"q22.1","CDH16","16q"
"16109","ENSG00000175518",11,"p15.4","UBQLNL","11p"
"16111","ENSG00000101624",18,"p11.21","CEP76","18p"
"16114","ENSG00000181001",11,"p15.4","OR52N1","11p"
"16115","ENSG00000198108",5,"q23.3","CHSY3","5q"
"16120","ENSG00000181009",11,"p15.4","OR52N5","11p"
"16121","ENSG00000105875",7,"q33","WDR91","7q"
"16123","ENSG00000258659",11,"p15.4","TRIM34","11p"
"16129","ENSG00000145808",5,"q23.3","ADAMTS19","5q"
"16131","ENSG00000133597",7,"q34","ADCK2","7q"
"16136","ENSG00000149150",11,"q12.1","SLC43A1","11q"
"16139","ENSG00000166181",11,"p12","API5","11p"
"16144","ENSG00000137145",9,"p22.1","DENND4C","9p"
"16149","ENSG00000271447",17,"q12","MMP28","17q"
"16150","ENSG00000198265",17,"q24.2","HELZ","17q"
"16151","ENSG00000153404",5,"p15.33","PLEKHG4B","5p"
"16154","ENSG00000196338",23,"q13.1","NLGN3","23q"
"16157","ENSG00000168092",11,"q23.3","PAFAH1B2","11q"
"16159","ENSG00000227354",13,"q31.1","RBM26-AS1","13q"
"16161","ENSG00000258588",11,"p15.4","TRIM6-TRIM34","11p"
"16162","ENSG00000169432",2,"q24.3","SCN9A","2q"
"16163","ENSG00000197251",6,"p21.31","LINC00336","6p"
"16165","ENSG00000240889",7,"q34","NDUFB2-AS1","7q"
"16167","ENSG00000030110",6,"p21.31","BAK1","6p"
"16168","ENSG00000145439",4,"q32.3","CBR4","4q"
"16169","ENSG00000146966",7,"q34","DENND2A","7q"
"16171","ENSG00000154734",21,"q21.3","ADAMTS1","21q"
"16175","ENSG00000099992",22,"q12.2","TBC1D10A","22q"
"16176","ENSG00000086696",16,"q23.3","HSD17B2","16q"
"16177","ENSG00000151617",4,"q31.22","EDNRA","4q"
"16179","ENSG00000270765",17,"q12","GAS2L2","17q"
"16181","ENSG00000137409",6,"p21.2","MTCH1","6p"
"16182","ENSG00000204188",6,"p21.31","GGNBP1","6p"
"16184","ENSG00000167904",8,"q12.1","TMEM68","8q"
"16196","ENSG00000213934",11,"p15.4","HBG1","11p"
"16197","ENSG00000173821",17,"q25.3","RNF213","17q"
"16198","ENSG00000108733",17,"q12","PEX12","17q"
"16199","ENSG00000129116",4,"q32.3","PALLD","4q"
"16206","ENSG00000150630",4,"q34.3","VEGFC","4q"
"16207","ENSG00000213931",11,"p15.4","HBE1","11p"
"16230","ENSG00000165762",14,"q11.2","OR4K2","14q"
"16231","ENSG00000119446",9,"q33.2","RBM18","9q"
"16233","ENSG00000173535",8,"p21.3","TNFRSF10C","8p"
"16236","ENSG00000175520",11,"p15.4","UBQLN3","11p"
"16241","ENSG00000183605",10,"q26.11","SFXN4","10q"
"16242","ENSG00000185231",18,"p11.21","MC2R","18p"
"16245","ENSG00000184698",11,"p15.4","OR51M1","11p"
"16249","ENSG00000104490",8,"q22.3","NCALD","8q"
"16251","ENSG00000148187",9,"q33.2","MRRF","9q"
"16256","ENSG00000075292",2,"p13.3","ZNF638","2p"
"16259","ENSG00000100426",22,"q13.33","ZBED4","22q"
"16266","ENSG00000131264",23,"q13.2","CDX4","23q"
"16269","ENSG00000151461",10,"p14","UPF2","10p"
"16272","ENSG00000269904",23,"q13.2","MAP2K4P1","23q"
"16276","ENSG00000175928",3,"p26.2","LRRN1","3p"
"16277","ENSG00000186281",2,"q11.2","GPAT2","2q"
"16283","ENSG00000157764",7,"q34","BRAF","7q"
"16284","ENSG00000144455",3,"p26.1","SUMF1","3p"
"16285","ENSG00000169860",3,"q25.2","P2RY1","3q"
"16286","ENSG00000116288",1,"p36.23","PARK7","1p"
"16287","ENSG00000126709",1,"p35.3","IFI6","1p"
"16288","ENSG00000102910",16,"q12.1","LONP2","16q"
"16297","ENSG00000169221",16,"p11.2","TBC1D10B","16p"
"16298","ENSG00000137574",8,"q12.1","TGS1","8q"
"16299","ENSG00000125089",4,"p16.1","SH3TC1","4p"
"16300","ENSG00000073737",2,"q31.1","DHRS9","2q"
"16302","ENSG00000166246",16,"p13.3","C16orf71","16p"
"16310","ENSG00000242247",22,"q13.2","ARFGAP3","22q"
"16311","ENSG00000113569",5,"p13.2","NUP155","5p"
"16313","ENSG00000128833",15,"q21.2","MYO5C","15q"
"16317","ENSG00000052841",11,"p12","TTC17","11p"
"16318","ENSG00000127946",7,"q11.23","HIP1","7q"
"16319","ENSG00000169344",16,"p12.3","UMOD","16p"
"16322","ENSG00000120071",17,"q21.31","KANSL1","17q"
"16330","ENSG00000163902",3,"q21.3","RPN1","3q"
"16333","ENSG00000135040",9,"q21.33","NAA35","9q"
"16334","ENSG00000171004",23,"q26.2","HS6ST2","23q"
"16335","ENSG00000180871",2,"q35","CXCR2","2q"
"16336","ENSG00000105185",19,"q13.11","PDCD5","19q"
"16337","ENSG00000235849",23,"q26.2","HS6ST2-AS1","23q"
"16338","ENSG00000161692",17,"q21.31","DBF4B","17q"
"16340","ENSG00000231584",2,"q11.2","FAHD2CP","2q"
"16341","ENSG00000173762",17,"q25.3","CD7","17q"
"16342","ENSG00000178053",3,"q25.32","MLF1","3q"
"16347","ENSG00000089091",20,"p11.23","DZANK1","20p"
"16348","ENSG00000140443",15,"q26.3","IGF1R","15q"
"16349","ENSG00000049449",11,"p13","RCN1","11p"
"16353","ENSG00000125731",19,"p13.3","SH2D3A","19p"
"16357","ENSG00000005020",7,"p15.2","SKAP2","7p"
"16359","ENSG00000196470",16,"q12.1","SIAH1","16q"
"16360","ENSG00000115520",2,"q33.1","COQ10B","2q"
"16361","ENSG00000138175",10,"q24.32","ARL3","10q"
"16365","ENSG00000117118",1,"p36.13","SDHB","1p"
"16367","ENSG00000170364",3,"p26.1","SETMAR","3p"
"16375","ENSG00000147127",23,"q13.1","RAB41","23q"
"16377","ENSG00000136874",9,"q31.1","STX17","9q"
"16379","ENSG00000121270",16,"q12.1","ABCC11","16q"
"16380","ENSG00000114480",3,"p12.2","GBE1","3p"
"16383","ENSG00000069966",15,"q21.2","GNB5","15q"
"16389","ENSG00000181467",3,"q25.2","RAP2B","3q"
"16392","ENSG00000169271",5,"q11.2","HSPB3","5q"
"16393","ENSG00000183674",6,"p24.3","LINC00518","6p"
"16394","ENSG00000154025",17,"p11.2","SLC5A10","17p"
"16398","ENSG00000163464",2,"q35","CXCR1","2q"
"16403","ENSG00000173085",4,"q21.23","COQ2","4q"
"16407","ENSG00000155961",23,"q28","RAB39B","23q"
"16409","ENSG00000185028",5,"p15.33","LRRC14B","5p"
"16410","ENSG00000186468",5,"q14.2","RPS23","5q"
"16414","ENSG00000177182",8,"q12.2","CLVS1","8q"
"16419","ENSG00000106399",7,"p21.3","RPA3","7p"
"16425","ENSG00000125869",20,"p12.2","LAMP5","20p"
"16430","ENSG00000250254",4,"p14","PTTG2","4p"
"16432","ENSG00000177885",17,"q25.1","GRB2","17q"
"16433","ENSG00000168040",11,"q13.3","FADD","11q"
"16434","ENSG00000122574",7,"p14.3","WIPF3","7p"
"16452","ENSG00000185818",4,"p16.3","NAT8L","4p"
"16453","ENSG00000105825",7,"q21.3","TFPI2","7q"
"16454","ENSG00000095787",10,"p12.1","WAC","10p"
"16456","ENSG00000155962",23,"q28","CLIC2","23q"
"16458","ENSG00000117115",1,"p36.13","PADI2","1p"
"16462","ENSG00000102103",23,"p11.23","PQBP1","23p"
"16464","ENSG00000175348",11,"p15.4","TMEM9B","11p"
"16466","ENSG00000171847",12,"p13.31","FAM90A1","12p"
"16471","ENSG00000106415",7,"p21.3","GLCCI1","7p"
"16472","ENSG00000152348",5,"q14.1","ATG10","5q"
"16473","ENSG00000175322",18,"p11.21","ZNF519","18p"
"16474","ENSG00000161664",17,"q21.31","ASB16","17q"
"16475","ENSG00000198363",8,"q12.3","ASPH","8q"
"16482","ENSG00000139842",13,"q34","CUL4A","13q"
"16483","ENSG00000088881",20,"p13","EBF4","20p"
"16488","ENSG00000164366",5,"p15.33","CCDC127","5p"
"16489","ENSG00000132664",20,"p11.23","POLR3F","20p"
"16490","ENSG00000127928",7,"q21.3","GNGT1","7q"
"16495","ENSG00000009780",1,"p35.3","FAM76A","1p"
"16507","ENSG00000115641",2,"q12.2","FHL2","2q"
"16511","ENSG00000186687",5,"q23.3","LYRM7","5q"
"16514","ENSG00000048649",11,"q14.1","RSF1","11q"
"16519","ENSG00000140403",15,"q25.1","DNAJA4","15q"
"16520","ENSG00000116285",1,"p36.23","ERRFI1","1p"
"16526","ENSG00000182378",23,"p22.33","PLCXD1","23p"
"16528","ENSG00000116726",1,"p36.21","PRAMEF12","1p"
"16530","ENSG00000270141",3,"q26.2","TERC","3q"
"16531","ENSG00000244752",22,"q11.23","CRYBB2","22q"
"16536","ENSG00000169567",5,"q23.3","HINT1","5q"
"16540","ENSG00000081307",3,"q22.1","UBA5","3q"
"16546","ENSG00000242600",10,"q22.3","MBL1P","10q"
"16547","ENSG00000154016",17,"p11.2","GRAP","17p"
"16550","ENSG00000184378",3,"q26.2","ACTRT3","3q"
"16551","ENSG00000169562",23,"q13.1","GJB1","23q"
"16553","ENSG00000070193",5,"p12","FGF10","5p"
"16556","ENSG00000183571",15,"q26.3","PGPEP1L","15q"
"16561","ENSG00000157350",16,"q22.1","ST3GAL2","16q"
"16562","ENSG00000116721",1,"p36.21","PRAMEF1","1p"
"16564","ENSG00000184164",22,"q13.33","CRELD2","22q"
"16570","ENSG00000133661",10,"q22.3","SFTPD","10q"
"16571","ENSG00000135698",16,"q23.3","MPHOSPH6","16q"
"16572","ENSG00000183960",3,"p24.3","KCNH8","3p"
"16577","ENSG00000206422",18,"p11.23","LRRC30","18p"
"16578","ENSG00000107829",10,"q24.32","FBXW4","10q"
"16579","ENSG00000182253",15,"q26.3","SYNM","15q"
"16589","ENSG00000078674",8,"p22","PCM1","8p"
"16591","ENSG00000137869",15,"q21.2","CYP19A1","15q"
"16593","ENSG00000160200",21,"q22.3","CBS","21q"
"16594","ENSG00000239810",1,"p36.21","PRAMEF11","1p"
"16596","ENSG00000108406",17,"q23.1","DHX40","17q"
"16599","ENSG00000105655",19,"p13.11","ISYNA1","19p"
"16603","ENSG00000104413",8,"q22.1","ESRP1","8q"
"16604","ENSG00000141480",17,"p13.2","ARRB2","17p"
"16605","ENSG00000172382",16,"p13.3","PRSS27","16p"
"16609","ENSG00000214367",4,"p16.3","HAUS3","4p"
"16619","ENSG00000159556",15,"q24.3","ISL2","15q"
"16621","ENSG00000178562",2,"q33.2","CD28","2q"
"16622","ENSG00000188522",17,"p11.2","FAM83G","17p"
"16625","ENSG00000180138",13,"q13.3","CSNK1A1L","13q"
"16626","ENSG00000142623",1,"p36.13","PADI1","1p"
"16631","ENSG00000183166",7,"q11.22","CALN1","7q"
"16632","ENSG00000186714",11,"p13","CCDC73","11p"
"16641","ENSG00000206066",22,"q11.23","IGLL3P","22q"
"16647","ENSG00000275226",13,"q13.3","LINC00547","13q"
"16653","ENSG00000183778",21,"q22.2","B3GALT5","21q"
"16655","ENSG00000173702",3,"q21.2","MUC13","3q"
"16656","ENSG00000130997",4,"p16.3","POLN","4p"
"16658","ENSG00000196684",19,"p13.11","HSH2D","19p"
"16661","ENSG00000173530",8,"p21.3","TNFRSF10D","8p"
"16662","ENSG00000106459",7,"q32.2","NRF1","7q"
"16664","ENSG00000248724",3,"q22.1","NPHP3-AS1","3q"
"16668","ENSG00000168439",11,"q13.1","STIP1","11q"
"16672","ENSG00000178605",23,"p22.33","GTPBP6","23p"
"16674","ENSG00000149100",11,"p13","EIF3M","11p"
"16677","ENSG00000128512",7,"q31.1","DOCK4","7q"
"16678","ENSG00000274810",3,"q22.1","NPHP3-ACAD11","3q"
"16679","ENSG00000163466",2,"q35","ARPC2","2q"
"16685","ENSG00000085719",8,"q21.3","CPNE3","8q"
"16687","ENSG00000075785",3,"q21.3","RAB7A","3q"
"16688","ENSG00000104164",15,"q21.1","BLOC1S6","15q"
"16689","ENSG00000101336",20,"q11.21","HCK","20q"
"16690","ENSG00000164168",4,"q31.23","TMEM184C","4q"
"16691","ENSG00000240303",3,"q22.1","ACAD11","3q"
"16693","ENSG00000276043",19,"p13.3","UHRF1","19p"
"16695","ENSG00000154736",21,"q21.3","ADAMTS5","21q"
"16699","ENSG00000126226",13,"q34","PCID2","13q"
"16700","ENSG00000173706",3,"q21.2","HEG1","3q"
"16715","ENSG00000167461",19,"p13.11","RAB8A","19p"
"16717","ENSG00000140395",15,"q25.1","WDR61","15q"
"16721","ENSG00000205189",8,"q21.13","ZBTB10","8q"
"16722","ENSG00000174576",11,"q13.2","NPAS4","11q"
"16723","ENSG00000204421",6,"p21.33","LY6G6C","6p"
"16724","ENSG00000214285",10,"q26.2","NPS","10q"
"16737","ENSG00000214401",17,"q21.31","KANSL1-AS1","17q"
"16738","ENSG00000149798",11,"q13.1","CDC42EP2","11q"
"16740","ENSG00000101076",20,"q13.12","HNF4A","20q"
"16742","ENSG00000130511",19,"p13.11","SSBP4","19p"
"16744","ENSG00000014138",11,"q13.1","POLA2","11q"
"16751","ENSG00000126768",23,"p11.23","TIMM17B","23p"
"16755","ENSG00000104689",8,"p21.3","TNFRSF10A","8p"
"16759","ENSG00000232977",13,"q12.12","LINC00327","13q"
"16761","ENSG00000179172",1,"p36.21","HNRNPCL1","1p"
"16764","ENSG00000232132",13,"q31.1","NDFIP2-AS1","13q"
"16767","ENSG00000102471",13,"q31.1","NDFIP2","13q"
"16768","ENSG00000120952",1,"p36.21","PRAMEF2","1p"
"16769","ENSG00000127863",13,"q12.12","TNFRSF19","13q"
"16771","ENSG00000105186",19,"q13.11","ANKRD27","19q"
"16772","ENSG00000182858",22,"q13.33","ALG12","22q"
"16775","ENSG00000133110",13,"q13.3","POSTN","13q"
"16776","ENSG00000113971",3,"q22.1","NPHP3","3q"
"16780","ENSG00000243073",1,"p36.21","PRAMEF4","1p"
"16782","ENSG00000182902",22,"q11.21","SLC25A18","22q"
"16786","ENSG00000107831",10,"q24.32","FGF8","10q"
"16787","ENSG00000170289",8,"q21.3","CNGB3","8q"
"16789","ENSG00000158985",5,"q31.1","CDC42SE2","5q"
"16804","ENSG00000187545",1,"p36.21","PRAMEF10","1p"
"16810","ENSG00000204116",23,"q13.2","CHIC1","23q"
"16811","ENSG00000109674",4,"q34.3","NEIL3","4q"
"16820","ENSG00000196954",11,"q22.3","CASP4","11q"
"16827","ENSG00000280038",15,"q25.2","DNM1P41","15q"
"16840","ENSG00000132646",20,"p12.3","PCNA","20p"
"16844","ENSG00000106410",7,"q35","NOBOX","7q"
"16857","ENSG00000141378",17,"q23.1","PTRH2","17q"
"16861","ENSG00000132793",20,"q12","LPIN3","20q"
"16864","ENSG00000136108",13,"q14.3","CKAP2","13q"
"16866","ENSG00000134809",11,"q12.1","TIMM10","11q"
"16871","ENSG00000168758",2,"q11.2","SEMA4C","2q"
"16872","ENSG00000124486",23,"p11.4","USP9X","23p"
"16875","ENSG00000168878",2,"p11.2","SFTPB","2p"
"16876","ENSG00000142619",1,"p36.13","PADI3","1p"
"16879","ENSG00000015676",7,"p13","NUDCD3","7p"
"16880","ENSG00000141367",17,"q23.1","CLTC","17q"
"16883","ENSG00000007952",23,"q22.1","NOX1","23q"
"16887","ENSG00000197006",16,"p12.2","METTL9","16p"
"16888","ENSG00000278053",17,"q12","DDX52","17q"
"16896","ENSG00000173482",18,"p11.23","PTPRM","18p"
"16897","ENSG00000186326",19,"q13.11","RGS9BP","19q"
"16899","ENSG00000132570",5,"q31.1","PCBD2","5q"
"16910","ENSG00000140511",15,"q26.1","HAPLN3","15q"
"16919","ENSG00000152705",5,"q31.1","CATSPER3","5q"
"16922","ENSG00000174231",17,"p13.3","PRPF8","17p"
"16925","ENSG00000213638",19,"p13.3","ADAT3","19p"
"16926","ENSG00000183798",20,"q12","EMILIN3","20q"
"16928","ENSG00000152291",2,"p11.2","TGOLN2","2p"
"16932","ENSG00000183578",15,"q21.2","TNFAIP8L3","15q"
"16938","ENSG00000227500",19,"p13.3","SCAMP4","19p"
"16941","ENSG00000129467",14,"q12","ADCY4","14q"
"16942","ENSG00000152931",5,"q12.1","PART1","5q"
"16943","ENSG00000038002",4,"q34.3","AGA","4q"
"16945","ENSG00000140749",16,"p12.2","IGSF6","16p"
"16950","ENSG00000197818",20,"q13.13","SLC9A8","20q"
"16951","ENSG00000156398",10,"q24.32","SFXN2","10q"
"16952","ENSG00000096433",6,"p21.31","ITPR3","6p"
"16957","ENSG00000113448",5,"q12.1","PDE4D","5q"
"16965","ENSG00000197912",16,"q24.3","SPG7","16q"
"16967","ENSG00000140326",15,"q15.2","CDAN1","15q"
"16968","ENSG00000187260",7,"q36.1","WDR86","7q"
"16975","ENSG00000214960",7,"p21.2","ISPD","7p"
"16977","ENSG00000119938",10,"q23.32","PPP1R3C","10q"
"16981","ENSG00000214872",11,"q12.1","SMTNL1","11q"
"16982","ENSG00000185973",23,"q28","TMLHE","23q"
"16987","ENSG00000100346",22,"q13.1","CACNA1I","22q"
"16988","ENSG00000136295",7,"p22.3","TTYH3","7p"
"16991","ENSG00000133027",17,"p11.2","PEMT","17p"
"16994","ENSG00000108947",17,"p13.1","EFNB3","17p"
"16995","ENSG00000270641",23,"q13.2","TSIX","23q"
"16996","ENSG00000229807",23,"q13.2","XIST","23q"
"16998","ENSG00000090889",23,"q13.1","KIF4A","23q"
"16999","ENSG00000130700",20,"q13.33","GATA5","20q"
"17001","ENSG00000171475",17,"q21.2","WIPF2","17q"
"17002","ENSG00000013374",7,"q36.1","NUB1","7q"
"17006","ENSG00000174165",11,"q13.2","ZDHHC24","11q"
"17007","ENSG00000196776",3,"q13.12","CD47","3q"
"17008","ENSG00000170293",3,"p22.3","CMTM8","3p"
"17010","ENSG00000144730",3,"p14.3","IL17RD","3p"
"17015","ENSG00000174516",11,"q13.2","PELI3","11q"
"17021","ENSG00000110042",11,"q12.1","DTX4","11q"
"17023","ENSG00000227011",17,"q22","C17orf112","17q"
"17029","ENSG00000077498",11,"q14.3","TYR","11q"
"17030","ENSG00000091317",3,"p22.3","CMTM6","3p"
"17031","ENSG00000062716",17,"q23.1","VMP1","17q"
"17034","ENSG00000181192",10,"p14","DHTKD1","10p"
"17038","ENSG00000105229",19,"p13.3","PIAS4","19p"
"17042","ENSG00000153551",3,"p22.3","CMTM7","3p"
"17043","ENSG00000197629",11,"q12.1","MPEG1","11q"
"17054","ENSG00000023318",9,"q31.1","ERP44","9q"
"17062","ENSG00000136193",7,"p14.3","SCRN1","7p"
"17064","ENSG00000071051",2,"q12.2","NCK2","2q"
"17065","ENSG00000141682",18,"q21.32","PMAIP1","18q"
"17067","ENSG00000119844",2,"p14","AFTPH","2p"
"17068","ENSG00000101596",18,"p11.32","SMCHD1","18p"
